,energy,n_para
140,1.5273,2.200545387061188
141,1.5382,2.736421020237931
142,1.5491,3.0304950090703007
143,1.56,3.2245464797394376
144,1.5709,3.3664966953793374
145,1.5819,3.47797354791551
146,1.5928,3.5703361186308493
147,1.6037,3.6503013574224252
148,1.6146,3.722176782475545
149,1.6255,3.788970836520123
150,1.6364,3.852959901166894
151,1.6473,3.9160566900901728
152,1.6582,3.980012562794243
153,1.6691,4.046702361182497
154,1.68,4.118312761313788
155,1.6909,4.197689840852942
156,1.7019,4.288974236341366
157,1.7128,4.398738455511989
158,1.7237,4.538546022681714
159,1.7346,4.732018596751285
160,1.7455,5.03931548464246
161,1.7564,5.595684264673683
162,1.7673,6.035659110738098
163,1.7782,5.824356340960689
164,1.7891,3.132172766555177
165,1.8,1.1914360336442191
166,1.811,2.6949783430964445
167,1.8219,3.2616406914312313
168,1.8328,3.5785891074556186
169,1.8437,3.8101312313357396
170,1.8546,4.009538626824787
171,1.8655,4.204188387786637
172,1.8764,4.415857787565175
173,1.8873,4.671541501474647
174,1.8982,5.019691225563581
175,1.9091,5.582930516856972
176,1.92,6.5316249017835215
177,1.931,7.157574764736472
178,1.9419,6.398082737681386
179,1.9528,1.8542293176841123
180,1.9637,0.07971776187784214
181,1.9746,0.0006360232126862237
182,1.9855,1.6258228685807072
183,1.9964,2.2906549281810213
184,2.0073,2.6625927213901868
185,2.0182,2.918646946788871
186,2.0291,3.116311922770248
187,2.04,3.2828036797834867
188,2.051,3.4348362406379724
189,2.0619,3.586418826629149
190,2.0728,3.7553029172092094
191,2.0837,3.977021500963423
192,2.0946,4.341599504893515
193,2.1055,4.68189492670585
194,2.1164,4.55973667443803
195,2.1273,2.887290453752003
196,2.1382,2.2269803994573363
197,2.1491,2.88357547251772
198,2.1601,3.1847292049248095
199,2.171,3.362677504641367
200,2.1819,3.491475332864318
201,2.1928,3.5962758514885924
202,2.2037,3.6892140084305223
203,2.2146,3.7794576432581755
204,2.2255,3.8714895152098037
205,2.2364,3.9245977732363895
206,2.2473,3.9397553081183174
207,2.2582,3.9985195857442735
208,2.2691,4.097853101089945
209,2.2801,4.197618372363071
210,2.291,4.304044609434247
211,2.3019,4.426014008111587
212,2.3128,4.574221245195733
213,2.3237,4.767011642528263
214,2.3346,5.043342145839404
215,2.3455,5.509630059852247
216,2.3564,6.2790335112266185
217,2.3673,6.687206396406185
218,2.3782,5.694394604309972
219,2.3891,1.716240230313111
220,2.4001,0.1747238179663619
221,2.411,2.3913803619270078
222,2.4219,3.025838726700417
223,2.4328,3.3861187220769446
224,2.4437,3.6458743807213105
225,2.4546,3.863638181817754
226,2.4655,4.070540504650457
227,2.4764,4.293530197013608
228,2.4873,4.562323732700412
229,2.4982,4.955755589889597
230,2.5091,5.47509144939776
231,2.5201,5.567778595707959
232,2.531,4.211670434924264
233,2.5419,2.6468390267242983
234,2.5528,3.659211979522949
235,2.5637,4.3890223079130894
236,2.5746,5.114085532869035
237,2.5855,5.608406176552342
238,2.5964,5.452421394972009
239,2.6073,3.6710967736143005
240,2.6182,2.695240150838991
241,2.6292,2.7858350533985377
242,2.6401,1.5777664849079351
243,2.651,2.3729503571239436
244,2.6619,2.9188696444297983
245,2.6728,3.2262516950789815
246,2.6837,3.4436608427660236
247,2.6946,3.6170015205968604
248,2.7055,3.766178434434566
249,2.7164,3.9021660651489447
250,2.7273,4.032257432258015
251,2.7382,4.162511261246028
252,2.7492,4.299232489642773
253,2.7601,4.45104482116278
254,2.771,4.633087523455606
255,2.7819,4.881014260632019
256,2.7928,5.272965295577963
257,2.8037,5.636152130241781
258,2.8146,5.52122259122066
259,2.8255,4.306533748315467
260,2.8364,3.2018341496484597
261,2.8473,3.8763406504093885
262,2.8582,4.353240172697492
263,2.8692,4.6806837107414125
264,2.8801,4.975911976713415
265,2.891,5.288931839228031
266,2.9019,5.666259789376127
267,2.9128,6.192684358181717
268,2.9237,6.949633757432517
269,2.9346,7.730995363115716
270,2.9455,7.99831697615178
271,2.9564,6.55965441890169
272,2.9673,2.7665099511642794
273,2.9783,4.648061248620104
274,2.9892,6.392588370831493
275,3.0001,5.625223157719129
276,3.011,1.639126381508228
277,3.0219,0.14586843978802716
278,3.0328,2.5551877727453474
279,3.0437,3.587287910027579
280,3.0546,2.4939354865311074
281,3.0655,2.7586568996638294
282,3.0764,4.309008625307956
283,3.0873,5.335967104550614
284,3.0983,5.634970780822091
285,3.1092,2.887860827886434
286,3.1201,2.1294385757844876
287,3.131,2.564964646249768
288,3.1419,0.7249753963827291
289,3.1528,0.0405778816755615
290,3.1637,1.495693822297085
291,3.1746,2.1893149613520664
