Energy,xx,yy,zz,xy,xz,yz
21.9000,0.3057,0.3057,0.3160,-0.0000,-0.0000,-0.0000
21.9131,0.3070,0.3070,0.3172,-0.0000,0.0000,-0.0000
21.9262,0.3083,0.3083,0.3188,-0.0000,-0.0000,-0.0000
21.9393,0.3089,0.3089,0.3199,-0.0000,-0.0000,-0.0000
21.9523,0.3094,0.3094,0.3205,-0.0000,-0.0000,-0.0000
21.9654,0.3109,0.3109,0.3216,-0.0000,-0.0000,-0.0000
21.9785,0.3131,0.3131,0.3229,-0.0000,-0.0000,-0.0000
21.9916,0.3148,0.3148,0.3232,-0.0000,-0.0000,0.0000
22.0047,0.3161,0.3161,0.3234,-0.0000,0.0000,-0.0000
22.0178,0.3172,0.3172,0.3243,-0.0000,-0.0000,-0.0000
22.0308,0.3182,0.3182,0.3260,-0.0000,0.0000,-0.0000
22.0439,0.3192,0.3192,0.3279,-0.0000,-0.0000,0.0000
22.0570,0.3199,0.3199,0.3291,-0.0000,-0.0000,-0.0000
22.0701,0.3206,0.3206,0.3294,-0.0000,-0.0000,-0.0000
22.0832,0.3217,0.3217,0.3296,-0.0000,-0.0000,-0.0000
22.0963,0.3233,0.3233,0.3301,-0.0000,-0.0000,-0.0000
22.1093,0.3247,0.3247,0.3311,-0.0000,-0.0000,-0.0000
22.1224,0.3259,0.3259,0.3333,-0.0000,-0.0000,-0.0000
22.1355,0.3274,0.3274,0.3363,-0.0000,-0.0000,-0.0000
22.1486,0.3290,0.3290,0.3391,-0.0000,-0.0000,-0.0000
22.1617,0.3304,0.3304,0.3410,-0.0000,-0.0000,-0.0000
22.1748,0.3313,0.3313,0.3421,-0.0000,-0.0000,-0.0000
22.1878,0.3323,0.3323,0.3433,-0.0000,-0.0000,-0.0000
22.2009,0.3334,0.3334,0.3449,-0.0000,-0.0000,-0.0000
22.2140,0.3345,0.3345,0.3468,-0.0000,-0.0000,-0.0000
22.2271,0.3355,0.3355,0.3488,-0.0000,-0.0000,-0.0000
22.2402,0.3367,0.3367,0.3505,-0.0000,0.0000,-0.0000
22.2532,0.3374,0.3374,0.3509,-0.0000,-0.0000,-0.0000
22.2663,0.3375,0.3375,0.3503,-0.0000,-0.0000,-0.0000
22.2794,0.3377,0.3377,0.3502,-0.0000,-0.0000,-0.0000
22.2925,0.3383,0.3383,0.3511,-0.0000,-0.0000,-0.0000
22.3056,0.3400,0.3400,0.3536,-0.0000,-0.0000,-0.0000
22.3187,0.3426,0.3426,0.3566,-0.0000,-0.0000,-0.0000
22.3317,0.3451,0.3451,0.3584,-0.0000,0.0000,-0.0000
22.3448,0.3471,0.3471,0.3591,-0.0000,-0.0000,-0.0000
22.3579,0.3488,0.3488,0.3601,-0.0000,0.0000,-0.0000
22.3710,0.3507,0.3507,0.3615,-0.0000,0.0000,0.0000
22.3841,0.3527,0.3527,0.3630,-0.0000,-0.0000,-0.0000
22.3972,0.3531,0.3531,0.3630,-0.0000,-0.0000,-0.0000
22.4102,0.3513,0.3513,0.3613,-0.0000,-0.0000,-0.0000
22.4233,0.3496,0.3496,0.3604,-0.0000,0.0000,-0.0000
22.4364,0.3492,0.3492,0.3607,-0.0000,-0.0000,-0.0000
22.4495,0.3500,0.3500,0.3619,-0.0000,-0.0000,-0.0000
22.4626,0.3518,0.3518,0.3639,-0.0000,-0.0000,-0.0000
22.4756,0.3543,0.3543,0.3664,-0.0000,-0.0000,-0.0000
22.4887,0.3567,0.3567,0.3688,-0.0000,-0.0000,-0.0000
22.5018,0.3591,0.3591,0.3712,-0.0000,-0.0000,-0.0000
22.5149,0.3617,0.3617,0.3737,-0.0000,-0.0000,-0.0000
22.5280,0.3641,0.3641,0.3759,-0.0000,-0.0000,-0.0000
22.5411,0.3659,0.3659,0.3772,-0.0000,-0.0000,-0.0000
22.5541,0.3663,0.3663,0.3773,-0.0000,-0.0000,-0.0000
22.5672,0.3647,0.3647,0.3757,-0.0000,-0.0000,-0.0000
22.5803,0.3619,0.3619,0.3735,-0.0000,-0.0000,-0.0000
22.5934,0.3602,0.3602,0.3734,-0.0000,0.0000,-0.0000
22.6065,0.3606,0.3606,0.3746,-0.0000,0.0000,-0.0000
22.6196,0.3618,0.3618,0.3763,-0.0000,0.0000,-0.0000
22.6326,0.3627,0.3627,0.3780,-0.0000,0.0000,-0.0000
22.6457,0.3635,0.3635,0.3791,-0.0000,0.0000,-0.0000
22.6588,0.3648,0.3648,0.3803,-0.0000,0.0000,-0.0000
22.6719,0.3661,0.3661,0.3812,-0.0000,0.0000,-0.0000
22.6850,0.3668,0.3668,0.3816,-0.0000,0.0000,-0.0000
22.6980,0.3668,0.3668,0.3813,-0.0000,0.0000,-0.0000
22.7111,0.3670,0.3670,0.3803,-0.0000,0.0000,-0.0000
22.7242,0.3683,0.3683,0.3803,-0.0000,-0.0000,-0.0000
22.7373,0.3703,0.3703,0.3815,-0.0000,0.0000,-0.0000
22.7504,0.3722,0.3722,0.3830,-0.0000,-0.0000,-0.0000
22.7635,0.3737,0.3737,0.3842,-0.0000,-0.0000,-0.0000
22.7765,0.3748,0.3748,0.3851,-0.0000,0.0000,-0.0000
22.7896,0.3757,0.3757,0.3862,-0.0000,-0.0000,-0.0000
22.8027,0.3763,0.3763,0.3866,-0.0000,0.0000,-0.0000
22.8158,0.3762,0.3762,0.3855,-0.0000,0.0000,-0.0000
22.8289,0.3765,0.3765,0.3852,-0.0000,-0.0000,-0.0000
22.8420,0.3778,0.3778,0.3867,-0.0000,-0.0000,-0.0000
22.8550,0.3794,0.3794,0.3886,-0.0000,-0.0000,-0.0000
22.8681,0.3809,0.3809,0.3905,-0.0000,0.0000,-0.0000
22.8812,0.3824,0.3824,0.3926,-0.0000,-0.0000,-0.0000
22.8943,0.3840,0.3840,0.3947,-0.0000,-0.0000,-0.0000
22.9074,0.3854,0.3854,0.3969,-0.0000,0.0000,-0.0000
22.9205,0.3860,0.3860,0.3980,-0.0000,-0.0000,-0.0000
22.9335,0.3853,0.3853,0.3974,-0.0000,-0.0000,-0.0000
22.9466,0.3851,0.3851,0.3969,-0.0000,-0.0000,-0.0000
22.9597,0.3860,0.3860,0.3972,-0.0000,-0.0000,-0.0000
22.9728,0.3871,0.3871,0.3978,-0.0000,-0.0000,-0.0000
22.9859,0.3885,0.3885,0.3991,-0.0000,-0.0000,-0.0000
22.9989,0.3904,0.3904,0.4011,-0.0000,-0.0000,-0.0000
23.0120,0.3925,0.3925,0.4031,-0.0000,-0.0000,-0.0000
23.0251,0.3937,0.3937,0.4036,-0.0000,-0.0000,-0.0000
23.0382,0.3937,0.3937,0.4031,-0.0000,-0.0000,-0.0000
23.0513,0.3939,0.3939,0.4036,-0.0000,-0.0000,-0.0000
23.0644,0.3949,0.3949,0.4044,-0.0000,-0.0000,-0.0000
23.0774,0.3960,0.3960,0.4050,-0.0000,0.0000,-0.0000
23.0905,0.3971,0.3971,0.4057,-0.0000,-0.0000,-0.0000
23.1036,0.3986,0.3986,0.4067,-0.0000,-0.0000,-0.0000
23.1167,0.4005,0.4005,0.4080,-0.0000,-0.0000,-0.0000
23.1298,0.4020,0.4020,0.4095,-0.0000,-0.0000,-0.0000
23.1429,0.4032,0.4032,0.4108,-0.0000,-0.0000,-0.0000
23.1559,0.4041,0.4041,0.4116,-0.0000,-0.0000,-0.0000
23.1690,0.4046,0.4046,0.4118,-0.0000,0.0000,-0.0000
23.1821,0.4050,0.4050,0.4116,-0.0000,-0.0000,-0.0000
