Energy,xx,yy,zz,xy,xz,yz
5.3295,1.9425,1.9425,1.9425,-1.2436,-1.2436,-1.2436
5.3663,2.6020,2.6020,2.6020,-1.4004,-1.4004,-1.4004
5.4030,3.2284,3.2284,3.2284,-1.5874,-1.5874,-1.5874
5.4398,3.9047,3.9047,3.9047,-1.8223,-1.8223,-1.8223
5.4765,4.7886,4.7886,4.7886,-2.0836,-2.0836,-2.0836
5.5133,6.0510,6.0510,6.0510,-2.4281,-2.4281,-2.4281
5.5501,6.3733,6.3733,6.3733,-2.3680,-2.3680,-2.3680
5.5868,5.0729,5.0729,5.0729,-1.8637,-1.8637,-1.8637
5.6236,4.0694,4.0694,4.0694,-1.4805,-1.4805,-1.4805
5.6603,3.9776,3.9776,3.9776,-1.2304,-1.2304,-1.2304
5.6971,4.0102,4.0102,4.0102,-1.0311,-1.0311,-1.0311
5.7338,4.0573,4.0573,4.0573,-0.8164,-0.8164,-0.8164
5.7706,3.8309,3.8309,3.8309,-0.6723,-0.6723,-0.6723
5.8073,3.6583,3.6583,3.6583,-0.5184,-0.5184,-0.5184
5.8441,3.7957,3.7957,3.7957,-0.2689,-0.2689,-0.2689
5.8809,3.8891,3.8891,3.8891,-0.0449,-0.0449,-0.0449
5.9176,4.0817,4.0817,4.0817,0.1760,0.1760,0.1760
5.9544,3.0267,3.0267,3.0267,0.5681,0.5681,0.5681
5.9911,0.7382,0.7382,0.7382,0.9661,0.9661,0.9661
6.0279,-1.0540,-1.0540,-1.0540,1.1408,1.1408,1.1408
6.0646,-2.0158,-2.0158,-2.0158,1.1180,1.1180,1.1180
6.1014,-2.0920,-2.0920,-2.0920,0.8639,0.8639,0.8639
6.1381,-1.7097,-1.7097,-1.7097,0.5212,0.5212,0.5212
6.1749,-1.5875,-1.5875,-1.5875,0.1765,0.1765,0.1765
6.2116,-1.4488,-1.4488,-1.4488,-0.0471,-0.0471,-0.0471
6.2484,-1.0192,-1.0192,-1.0192,-0.1255,-0.1255,-0.1255
6.2852,-0.5937,-0.5937,-0.5937,-0.1797,-0.1797,-0.1797
6.3219,-0.2531,-0.2531,-0.2531,-0.2237,-0.2237,-0.2237
6.3587,0.0739,0.0739,0.0739,-0.2721,-0.2721,-0.2721
6.3954,0.4291,0.4291,0.4291,-0.3277,-0.3277,-0.3277
6.4322,0.7392,0.7392,0.7392,-0.3520,-0.3520,-0.3520
6.4689,0.9604,0.9604,0.9604,-0.3024,-0.3024,-0.3024
6.5057,1.1240,1.1240,1.1240,-0.1992,-0.1992,-0.1992
6.5424,1.2207,1.2207,1.2207,-0.1138,-0.1138,-0.1138
6.5792,1.1835,1.1835,1.1835,-0.1118,-0.1118,-0.1118
6.6160,0.9339,0.9339,0.9339,-0.1447,-0.1447,-0.1447
6.6527,0.4863,0.4863,0.4863,-0.2300,-0.2300,-0.2300
6.6895,0.0083,0.0083,0.0083,-0.3921,-0.3921,-0.3921
6.7262,-0.3502,-0.3502,-0.3502,-0.5463,-0.5463,-0.5463
6.7630,-0.5571,-0.5571,-0.5571,-0.6620,-0.6620,-0.6620
6.7997,-0.6394,-0.6394,-0.6394,-0.7520,-0.7520,-0.7520
6.8365,-0.5280,-0.5280,-0.5280,-0.7854,-0.7854,-0.7854
6.8732,-0.3038,-0.3038,-0.3038,-0.7596,-0.7596,-0.7596
6.9100,-0.3083,-0.3083,-0.3083,-0.8399,-0.8399,-0.8399
6.9468,-0.5954,-0.5954,-0.5954,-1.0226,-1.0226,-1.0226
6.9835,-0.6937,-0.6937,-0.6937,-1.0437,-1.0437,-1.0437
7.0203,-0.3830,-0.3830,-0.3830,-0.8622,-0.8622,-0.8622
7.0570,-0.1310,-0.1310,-0.1310,-0.6960,-0.6960,-0.6960
7.0938,-0.1331,-0.1331,-0.1331,-0.6178,-0.6178,-0.6178
7.1305,-0.2759,-0.2759,-0.2759,-0.5302,-0.5302,-0.5302
7.1673,-0.7606,-0.7606,-0.7606,-0.3026,-0.3026,-0.3026
7.2040,-1.2261,-1.2261,-1.2261,-0.1024,-0.1024,-0.1024
7.2408,-1.4746,-1.4746,-1.4746,-0.0588,-0.0588,-0.0588
7.2776,-1.8493,-1.8493,-1.8493,-0.0120,-0.0120,-0.0120
7.3143,-2.1078,-2.1078,-2.1078,0.0728,0.0728,0.0728
7.3511,-2.2071,-2.2071,-2.2071,0.1767,0.1767,0.1767
7.3878,-2.2186,-2.2186,-2.2186,0.2755,0.2755,0.2755
7.4246,-2.0768,-2.0768,-2.0768,0.3617,0.3617,0.3617
7.4613,-1.8839,-1.8839,-1.8839,0.4310,0.4310,0.4310
7.4981,-1.6982,-1.6982,-1.6982,0.4836,0.4836,0.4836
7.5348,-1.6450,-1.6450,-1.6450,0.5162,0.5162,0.5162
7.5716,-1.7746,-1.7746,-1.7746,0.5708,0.5708,0.5708
7.6084,-1.9106,-1.9106,-1.9106,0.6266,0.6266,0.6266
7.6451,-2.0527,-2.0527,-2.0527,0.5800,0.5800,0.5800
7.6819,-2.0632,-2.0632,-2.0632,0.4915,0.4915,0.4915
7.7186,-1.8771,-1.8771,-1.8771,0.4404,0.4404,0.4404
7.7554,-1.7185,-1.7185,-1.7185,0.3970,0.3970,0.3970
7.7921,-1.5878,-1.5878,-1.5878,0.3511,0.3511,0.3511
7.8289,-1.4925,-1.4925,-1.4925,0.3079,0.3079,0.3079
7.8656,-1.4433,-1.4433,-1.4433,0.2673,0.2673,0.2673
7.9024,-1.4197,-1.4197,-1.4197,0.2310,0.2310,0.2310
7.9391,-1.4245,-1.4245,-1.4245,0.2089,0.2089,0.2089
7.9759,-1.4874,-1.4874,-1.4874,0.2009,0.2009,0.2009
8.0127,-1.5624,-1.5624,-1.5624,0.2093,0.2093,0.2093
8.0494,-1.6177,-1.6177,-1.6177,0.2393,0.2393,0.2393
8.0862,-1.6474,-1.6474,-1.6474,0.2858,0.2858,0.2858
8.1229,-1.6444,-1.6444,-1.6444,0.3506,0.3506,0.3506
8.1597,-1.6143,-1.6143,-1.6143,0.4329,0.4329,0.4329
8.1964,-1.5462,-1.5462,-1.5462,0.5136,0.5136,0.5136
8.2332,-1.4543,-1.4543,-1.4543,0.5647,0.5647,0.5647
8.2699,-1.3227,-1.3227,-1.3227,0.5634,0.5634,0.5634
8.3067,-1.2544,-1.2544,-1.2544,0.5706,0.5706,0.5706
8.3435,-1.2159,-1.2159,-1.2159,0.5844,0.5844,0.5844
8.3802,-1.1149,-1.1149,-1.1149,0.5785,0.5785,0.5785
8.4170,-1.0083,-1.0083,-1.0083,0.5874,0.5874,0.5874
8.4537,-0.8823,-0.8823,-0.8823,0.6041,0.6041,0.6041
8.4905,-0.9089,-0.9089,-0.9089,0.5414,0.5414,0.5414
8.5272,-1.0802,-1.0802,-1.0802,0.3908,0.3908,0.3908
8.5640,-1.1974,-1.1974,-1.1974,0.2751,0.2751,0.2751
8.6007,-1.2591,-1.2591,-1.2591,0.2290,0.2290,0.2290
8.6375,-1.3312,-1.3312,-1.3312,0.2158,0.2158,0.2158
8.6743,-1.3718,-1.3718,-1.3718,0.2002,0.2002,0.2002
8.7110,-1.4183,-1.4183,-1.4183,0.2104,0.2104,0.2104
8.7478,-1.5540,-1.5540,-1.5540,0.2526,0.2526,0.2526
